HNI,IPO Success,Issue Size,Offer Price,QIB,RII,Total
0,0,1150,328,0,0,0
0,1,3200,100,0,0,3.61
0,1,4500,275,0,0,0
0.02,1,29.6,74,0,3.35,1.18
0.03,0,4113.13,1215,1.73,0.39,0.99
0.06,1,1800,360,0,0.52,0.11
0.07,1,1282.52,744,0.29,0.87,0.53
0.09,0,174.71,181,1.01,0.39,0.75
0.11,0,600,306,3.07,1.83,1.81
0.12,0,9466.98,800,2.34,0.11,1.19
0.12,1,1038.68,56,3.89,0.12,1.19
0.13,0,435.02,90,1.96,0.72,1.21
0.15,1,2700,100,2.88,0.4,1.68
0.17,1,65.18,10,1.04,1.82,1.18
0.18,0,543.06,750,2.44,2.33,1.9
0.19,0,6400.44,900,1.03,1.1,0.79
0.2,1,8750,708,9.09,0.11,2.66
0.21,0,238.95,502,3.65,1.63,1.9
0.21,0,1200.29,577,1.65,5.92,2.03
0.22,0,405,54,2.54,0.16,1.16
0.22,0,433.28,28,2.85,1.18,1.7
0.22,0,517.6,33,3.91,2.08,1.95
0.22,0,1600,1258,2.28,1.33,1.53
0.22,0,9967.3,300,2.28,0.22,1.25
0.22,0,11175.8,912,2.25,0.63,1.38
0.22,1,29.48,70,0,4.38,1.57
0.23,1,309.38,80,1.66,2.39,0.71
0.23,1,1500,366,4.17,1.36,2.59
0.24,0,18300,2150,2.79,1.66,1.89
0.24,1,1114.72,273,2.76,1.66,1.86
0.24,1,1200,183,4.32,0.08,2.26
0.26,0,1640.32,821,2.77,0.25,0.97
0.26,1,299.99,315,0.89,0.37,0.49
0.27,1,5235,487,2.66,0.31,0.39
0.29,0,4172.76,220,2.84,0.19,1.3
0.31,0,343.59,118,1.81,0.24,1.02
0.32,1,1501.73,42,3.01,0.8,0.83
0.34,0,172.41,127,3.68,0.38,2.07
0.35,0,270.23,172,3.39,0.51,1.65
0.36,0,3514.85,520,1.04,0.88,0.78
0.38,0,227,256,6.52,0.38,2.92
0.38,0,400,320,1.98,1.16,1.4
0.38,1,55,55,1.15,1.13,1.03
0.39,1,5550,291,3.46,1.57,2.28
0.4,0,3027.26,402,4.64,0.41,1.55
0.41,0,496.88,985,1.88,18.16,4.44
0.41,0,865,436,3.57,0.84,2.21
0.41,1,468.85,490,7.45,0.38,4
0.41,1,11327.4,390,6.02,1.14,3.59
0.42,0,504.8,248,4.34,2.98,2.82
0.42,0,775,142,2.05,2.11,1.61
0.42,0,1112.5,445,4.94,0.82,1.86
0.43,0,649.64,218,2.36,0.83,1.56
0.43,1,8478.75,201,2.18,0.16,1.2
0.45,1,239.12,268,1,0.54,0.66
0.45,1,1741.16,603,4.68,3.51,3.29
0.47,0,740,65,1.05,4.7,1.55
0.48,0,776.69,257,2.16,3.1,1.88
0.5,0,952.79,428,1.5,1.41,1.3
0.51,1,6479.55,1500,6.4,0.24,2.06
0.55,0,980.14,190,2.1,1.18,1.31
0.55,0,1189.85,856,3.11,0.09,1.05
0.56,0,2800,235,3.3,0.77,2.09
0.6,0,1250,704,2.21,0.71,1.12
0.6,0,27858.8,1960,6.97,0.5,2.37
0.61,0,1588.51,474,1.77,0.11,0.7
0.63,1,15000,12,1.9,0.47,0.93
0.64,0,900,47,2.09,0.18,1.07
0.65,1,488.44,378,4.51,0.28,1.56
0.66,0,601.55,295,1.97,1.05,1.23
0.66,0,5000,570,4.23,0.73,1.71
0.66,1,256.64,94,1.01,0.21,0.53
0.66,1,2980.8,321,1.7,1.78,1.43
0.68,1,2200,74,2.06,2.73,1.8
0.7,0,374.59,180,1.17,1.37,1.11
0.7,1,8386.4,700,12.56,0.85,3.58
0.73,0,410.19,186,2.62,2.01,1.91
0.74,1,537.94,630,1.26,0.61,0.81
0.75,1,35.55,79,0,3.96,1.5
0.76,0,402.26,878,1.06,0.32,0.61
0.8,0,477.11,19,1.36,2.93,1.83
0.81,1,10000,108,3.32,3.44,2.42
0.83,0,5700.94,661,8.17,1.23,2.98
0.85,0,640,300,4.48,1.39,2.9
0.85,0,1000.73,1650,2.56,2.61,2.28
0.89,0,2849.64,780,1.02,0.3,0.85
0.9,0,554.75,352,2.76,1.71,1.83
0.9,0,600,155,6.47,1.62,2.85
0.93,0,2159.88,554,3.34,2.32,2.31
0.93,1,36.85,110,1.02,2.5,1.53
0.94,1,60,68,2.81,6.28,4.64
0.97,0,2900,289,3.54,3.1,2.75
0.98,0,1131.19,422,5.52,0.88,2.22
1.02,0,3500,435,7.46,0.83,4.5
1.03,0,3850,541,2.7,2.29,2.17
1.03,1,894.4,860,5.01,1.75,2.53
1.07,1,3149.19,866,7.49,0.39,2.57
1.1,1,1641.18,280,4.66,0.03,1.57
1.11,1,25.75,40,0,3.41,1.36
1.14,1,508.17,180,4.68,0.47,1.84
1.15,0,2257.6,102,1.77,0.61,1.24
1.17,0,600,625,4.49,1.02,2.04
1.2,0,4578.2,203,6.92,2,4.34
1.2,1,200,75,1.48,0.4,1.04
1.21,0,500,178,3.54,1.89,2.21
1.22,1,1370.1,126,8.82,1.11,5.33
1.28,1,412.79,256,4.05,2.61,2.72
1.3,1,357,29,1.44,1.81,1.55
1.31,0,580.84,305,2.18,3.09,2.37
1.31,1,1590,414,3.12,1.29,2.26
1.32,0,552,506,8.71,0.59,3.06
1.32,1,1894.26,531,13.07,1.09,4.54
1.33,1,808.04,642,17.57,0.59,2.91
1.35,1,40.64,72,0.23,6.57,2.62
1.37,0,1580.85,542,38.9,0.7,5.25
1.37,1,34.75,108,0.03,4.18,1.68
1.38,0,1103.99,368,8.59,0.51,2.95
1.39,0,20557.2,949,2.83,1.14,1.64
1.39,1,94.42,210,1.52,0.79,1.2
1.4,1,412.12,590,7.83,4.31,5.44
1.41,0,846.25,441,1.74,0.95,1.27
1.42,0,362.57,115,0.88,0.34,0.77
1.44,0,156.19,178,2.2,0.41,1.15
1.44,0,2500,486,3.05,0.4,1.36
1.45,0,530,450,4.52,0.99,2.89
1.45,0,1092.26,140,3.51,1.82,2.2
1.45,1,858.7,425,1.03,1.83,1.29
1.45,1,1100,216,1.98,2.15,1.95
1.48,0,345.6,270,4.1,0.4,1.1
1.51,0,324,63,1.02,0.97,1.11
1.51,1,960.35,357,4.13,1.65,2.33
1.52,0,28.75,75,0.52,2.26,1.12
1.54,1,61.2,120,21.99,23.71,9.51
1.56,0,93,186,1.03,2.35,1.57
1.58,1,2000,1100,7.7,0.69,2.88
1.6,0,2249.96,100,1.14,0,1.35
1.63,0,600.65,205,1.33,5.69,1.81
1.66,1,491.66,103,3.04,1.68,2.24
1.66,1,779.58,815,5.64,19.51,7.07
1.68,0,112.06,135,1.02,2.76,1.85
1.7,0,124.97,106,7.07,3.4,4.93
1.71,0,211.04,120,0.29,2.18,0.7
1.71,0,350.43,645,13.96,6.96,7.83
1.76,1,60,60,1,0.64,1.12
1.82,0,36.9,85,0,2.93,1.3
1.84,0,120.65,210,0.98,1.64,1.34
1.84,0,254.26,158,1.3,2.22,1.87
1.89,1,2143.74,825,5.26,2.9,3.86
1.9,1,2486.35,104,4.15,0.25,2.2
1.91,0,200,120,1.29,0.68,1.15
1.91,0,1174.82,87,2.76,2.82,2.61
1.92,0,759.6,90,5.42,6.4,4.48
1.93,1,2106.4,30,3.52,4.16,3.2
1.94,0,217.41,117,0.85,1.48,1.24
1.94,1,55.1,82,0,5.06,2.06
2,1,170,90,1.12,1.21,1.28
2.02,1,70,45,1.01,2.08,1.21
2.03,0,300,228,1.31,1.6,1.5
2.07,1,828.88,429,15.6,6.1,7.9
2.09,0,70,65,0.97,1.54,1.34
2.09,1,200,137,2.02,5.68,2.24
2.19,1,176.09,150,4.68,0.55,2.54
2.23,1,450,432,0.86,1.31,1.11
2.29,1,8695,290,16.6,0.94,4.9
2.32,0,800,542,1.42,1.38,1.59
2.35,0,104.63,155,0.51,1.6,1.17
2.35,1,880,197,1.35,7.61,2.78
2.4,0,6145.56,76,5.31,3.92,4.27
2.45,1,1954.96,967,9.16,0.95,3.59
2.47,1,1201,222,12.35,0.88,4.4
2.59,1,35.87,108,0,19.42,11.01
2.65,0,117,234,0.14,1.84,1.11
2.65,1,102.6,180,3.35,0.4,1.97
2.67,0,4633.38,26,3.78,3.66,3.49
2.68,1,130.05,153,1.91,6.92,3.57
2.76,1,60,138,0.31,4.68,2.21
2.82,1,63,100,0,3.36,1.6
2.84,0,823.7,1490,5.21,3.43,3.81
2.85,0,484.8,170,1.48,0.99,1.53
2.94,0,807.84,510,1.62,6.48,2.86
2.97,1,480,585,1.74,0.96,1.62
3,0,126.51,135,0.78,0.66,1.07
3.03,1,635,541,3.84,0.53,2.01
3.03,1,1204.29,880,8.88,2.21,5.84
3.08,1,750.54,215,1.15,2.12,1.83
3.09,0,4750,300,2.15,0,2.57
3.1,0,452.87,500,5.11,13.13,5.98
3.1,1,179.5,230,1.49,2.05,1.98
3.12,0,776.25,400,0.68,0.33,0.96
3.14,0,499.6,222,1.42,5.59,2.65
3.16,1,190.45,248,0.52,1.04,1.1
3.22,1,23.25,63,0.65,14.22,5.78
3.28,0,45.83,35,0.33,9.31,3.92
3.29,0,475,247,4.51,2.2,3.09
3.35,1,510,730,14.51,0.44,5.09
3.39,1,270,166,8.98,1,5.43
3.39,1,1062.51,26,9.03,3.12,6.64
3.44,0,24.75,30,0,1.36,0.99
3.44,0,77.4,180,1.55,2.01,2.54
3.46,1,2073.25,1180,7.5,8.7,6.62
3.57,1,3008.5,765,17.8,0.92,6.15
3.58,1,1330.51,428,10.54,1.67,4.57
3.61,1,1028.61,260,22.15,0.94,12.13
3.62,1,613.08,250,24.43,1.89,8.7
3.65,1,178.2,165,1.12,0.62,1.22
3.67,0,1164.73,140,4.19,6.56,4.92
3.8,1,4326.36,1080,49.16,0.92,15.32
3.83,0,105,135,1.71,2.63,2.35
3.92,1,165,110,1.02,4.82,2.78
4.02,0,1701.44,324,11.5,1.35,7.61
4.02,1,2205.57,336,28.64,0.88,9.58
4.05,0,523.07,468,6.64,2.49,4
4.13,1,18000,11,17.56,0.92,6.36
4.21,1,60,29,0.34,1.9,1.47
4.24,0,1578,99,0.58,0,2.23
4.25,0,1500,468,4.47,0.37,2.95
4.29,1,666,240,1.43,0.28,1.36
4.39,0,2768.26,712,10.36,3.24,5.24
4.47,0,69.98,77,0.17,2.28,1.55
4.68,1,60,70,0.35,9.01,4.03
4.68,1,4193.73,465,19.3,2.31,12.22
4.7,1,82.5,150,0.24,6.18,2.99
4.82,0,600,118,1.85,12.72,4.6
4.92,0,466.94,475,12.29,10.07,9.9
4.92,1,3042.62,549,30.93,1.37,10.26
4.97,0,462,270,8.37,3.08,4.98
5.05,0,5430,463,3.79,0.94,2.63
5.07,0,150,220,0.26,3,1.94
5.07,1,7734.99,100,4.63,0,4.83
5.08,0,63.75,75,0.03,2.74,1.74
5.08,0,1125.13,716,13.47,0.67,5.27
5.11,0,203,58,0.75,0.32,1.25
5.18,0,270.2,215,1.06,1.66,2.25
5.27,0,79.38,98,0.82,9.9,4.67
5.36,1,160.77,120,17.67,40.1,22.68
5.45,0,34.78,50,0,1.76,1.43
5.52,1,424.62,245,15.62,5.18,8.25
5.55,1,38.96,45,0.43,0.46,1.2
5.85,0,498.13,150,23.43,2.99,13.36
5.85,1,959.35,290,23.43,2.99,13.36
5.89,1,5032.88,102,10.81,0,8.57
6.13,0,371.02,260,1.38,1.39,1.96
6.18,0,1245,52,1.93,9.61,5.34
6.39,1,55.88,69,1.04,5.74,3.48
6.39,1,512.48,332,14.49,1.42,6.19
6.46,0,1268.88,629,14.41,1.92,6.44
6.59,1,165.42,326,12.02,11.12,8.69
6.91,1,1844,572,16.08,1.48,6.8
6.93,1,2499.99,100,8.92,0,8.01
6.96,1,937.09,1480,54.27,6.01,20
7.1,1,880.85,300,80.63,4.77,26.67
7.13,1,840.13,220,87.56,2.84,15.59
7.21,1,3477,610,10.41,1.6,6.03
7.27,0,48.75,75,0.16,5.6,2.97
7.31,0,73.6,64,0.15,3.01,2.22
7.69,0,23,66,1.24,2.64,3.25
7.81,0,750,10,0.26,0.61,1.52
7.82,1,152.25,175,1.91,8.53,6.14
7.82,1,5709.72,980,24.89,3.31,16.59
8,1,99,80,6.01,2.17,4.8
8.27,0,700,237,14.35,12.9,12.41
8.64,1,120,170,5.69,7.79,7.39
8.85,0,563.38,164,16.73,5.94,12.57
8.86,1,537.02,369,0.74,6.11,5.22
9.03,1,264.1,95,1.24,10.81,7.55
9.27,0,100,100,13.43,24.74,16.86
9.49,1,81.9,117,0.25,8.66,4.58
9.5,0,650,401,17.5,4.01,9.02
9.99,1,12500,740,55.47,1.41,16.69
10.39,0,211.68,210,8.38,6.47,8.58
10.52,1,107.9,130,7.97,2.81,6.32
10.52,1,4275,570,48.57,2.83,29.88
10.68,1,1399.6,292,152.04,4.73,28.55
10.76,0,1236.38,710,19.91,7.39,11.69
10.91,1,68.75,110,1.27,6.62,4.53
11.02,1,525.14,186,17.3,2.44,8.52
11.15,1,649.7,664,12.36,3.28,7.56
11.29,0,49,49,0.16,6.83,4.16
11.74,1,3800,275,4.78,0,7.94
11.75,1,4300,650,2.2,0.9,3.6
12.46,1,53.1,118,0.01,7.41,4.47
13.2,0,960,291,17.47,7.61,11.52
13.23,1,1964.01,1035,52.26,2.13,18.69
13.54,1,730,385,12.71,6.82,11.88
13.59,1,840.27,346,13.72,2.24,7.95
13.85,1,1600,643,9.08,5.87,9.8
13.89,1,4473.02,375,38.67,1.2,14.63
13.91,1,225,324,25.52,3.46,15.94
14.2,1,500.33,701,17.32,5.56,10.67
14.25,1,8000,78,80.75,2.31,27.28
14.42,1,1252.66,401,31.5,3.77,13.78
14.85,1,1171.58,418,40.14,3.19,16.25
14.9,1,1462.31,407,48.91,9.96,32.23
15.21,1,852.53,400,64.23,2.14,22.19
15.73,0,401.54,460,24.4,24.27,22.47
15.78,1,475.59,973,14.92,3.03,12.95
15.99,1,2800,119,57.09,10.32,37.37
16.6,1,56.25,75,0.99,6.25,5.17
16.99,1,1550.52,741,67.67,3.78,24.87
17.86,0,835.61,577,67.14,4.63,25.32
18.12,1,601.31,135,7.33,1.68,6.85
18.26,1,1628.78,985,20.38,2.81,13.69
18.9,0,400,360,24.31,9.3,15.65
19.04,1,125.96,274,1.82,81.24,20.96
21.01,1,600.17,783,12.86,1.62,8.99
21.21,1,857.82,587,98.47,4.1,34.16
21.6,0,53.65,145,21.97,13.51,18.95
22.2,0,361,202,5.77,3.31,8.06
22.24,0,500,240,23.32,10.76,16.81
22.34,1,919.14,530,10.12,3.53,11.63
22.78,1,582.56,407,24.41,3.53,13.45
23.18,1,51.5,43,1.78,12.59,8.77
23.25,1,2497.92,1329,80.64,14.55,52.68
24.16,1,2150.21,32,104.57,7.73,38.8
24.42,1,1900,648,108.57,3.06,38.9
24.84,1,4225,417,45.8,11.21,33.78
25.05,0,570,414,38.75,5.46,18.5
25.4,1,15199.4,245,24.7,2.31,15.28
25.42,1,659.38,550,2.5,7.76,9.78
25.61,1,680,175,2.68,3.08,7.79
26.17,1,384.22,212,68.52,3.42,39.54
27.12,1,3529.94,203,39.3,7.68,27.91
27.41,1,230,226,25.42,21.52,23.89
28.1,0,640.05,230,25.5,6.29,16.37
28.51,1,1200,493,89.7,9.95,36.71
28.55,0,6056.79,334,11.83,1.42,10.48
28.58,1,248.07,11,5.86,6.19,8.23
29.19,1,91.8,102,0.67,8.51,7.69
29.73,1,321.25,211,0.67,16.62,15.05
30.5,1,45,90,1.02,7.26,7.48
31.29,1,490.78,441,72.54,8.44,31.65
31.59,1,100,400,3.1,166.65,39.93
31.62,0,489.95,792,46.94,8.93,23.86
31.82,1,540,82,62.32,7.99,28.46
32.24,1,153.05,166,9.94,14.72,18.29
32.4,1,1500,281,50.37,4.51,23.55
32.69,1,66.3,65,2.4,39.78,17.46
32.72,1,412.63,385,8.02,26.04,18.03
32.96,1,9375,76,51.79,7.45,38.25
33.1,1,154.98,140,8.95,5.12,12.21
33.37,1,593,304,115.6,13.01,46.68
33.44,1,54.67,71,1.54,8,8.59
33.91,0,2780.05,353,32.41,1.35,17.2
34.36,0,423.56,288,20.58,34.03,25.94
34.75,1,869.08,735,187.32,7.73,63.72
34.98,1,4011.6,800,103.97,7.73,41.01
35.38,1,1020.53,325,35.68,2.15,18.6
35.47,1,833.91,282,142.41,5.7,51.14
35.88,1,147.5,118,5.91,11.04,12.2
36.48,1,1000,331,44.13,26.17,38.53
36.69,0,451.25,321,4.34,3.82,10.8
36.7,1,1387.34,614,88.08,3.6,34.42
37.22,1,686.55,300,85.1,8.34,36.16
37.66,1,562.1,326,70.53,43.66,56.68
38.24,1,650,385,36.72,32.55,36.2
38.33,1,2150,90,108.35,4.27,41.3
39,1,1153.72,518,52.53,6.59,26.66
39.15,1,324.98,66,47.08,9.8,33.38
39.39,1,700,258,52.61,4.56,33.42
40.34,1,6958.64,90,115.9,6.77,64.82
40.34,1,7442.34,90,115.9,6.77,64.82
40.36,1,755,330,178.26,12.44,47.19
40.94,1,50.2,100,1.66,7.45,9.58
41,0,2998.51,1618,35.45,2.75,20.29
41.51,1,6560,70,209.36,7.04,63.61
42.04,0,1335.74,425,8.42,8.08,17.41
42.21,1,550,321,75.62,8.93,35.12
42.21,1,1856.74,679,90.09,21.3,63.56
42.36,1,3395,570,182.65,5.64,63.86
43.91,1,300.12,715,7.33,3.32,13.21
43.97,1,500,207,84.32,61.77,69.79
44.71,0,492.88,172,27.99,25.95,30.57
45.05,1,592,265,90.44,49.22,67.31
45.23,0,10340.8,755,57.18,2.5,26.54
45.35,1,116.6,110,8.57,10.53,14.08
46.33,0,251.19,221,32.09,17.44,27.78
48.32,1,1952.03,1008,195.83,7.21,67.87
48.34,0,544.36,505,44.73,9.29,27.05
48.39,0,200,111,33.26,14.78,25.98
48.41,1,59.85,133,1.86,13.51,12.92
48.85,1,71.66,240,4.28,10.03,12.78
49.09,1,1025,57,192.9,10.99,70.16
50.04,1,2830.4,450,216.67,7.69,74.38
51.46,1,745,256,146.05,13.64,59.57
51.48,1,77.44,128,35.43,8.43,28.39
51.88,1,800,296,42.95,11.3,29.04
51.95,1,328.72,145,59.39,3.79,31.11
52.29,1,251.09,237,48.21,21.53,35.49
52.41,1,920,155,75.14,30.35,59.66
53.2,1,1459.32,660,147.8,15.3,61.28
53.49,1,297,660,20.19,6.62,19.29
55.52,1,549.78,280,104.95,19.94,51.85
56.08,1,1100,480,136.85,16.58,59.4
56.3,0,3600,230,5.73,3.92,17.37
57.29,1,2176.69,110,14.93,1.4,17.21
57.71,1,792,150,163.9,20.28,69.14
59.43,0,834.68,389,81.83,9.12,40.66
60.42,0,66,35,40.47,14.1,30.63
60.94,1,901.25,175,25.01,8.5,24.55
61.28,1,631.91,550,63.56,4.24,33.41
62.11,1,3042.51,500,203.41,16.5,69.43
62.17,1,1008.59,850,220.48,15.09,82.04
62.23,1,500.69,169,129,28.95,64.07
62.48,1,267.91,355,27.99,9.07,24.47
62.49,1,4321.44,1503,208.63,10.79,76.34
62.75,1,600,311,143.66,10.44,59.71
63.35,1,606.5,285,163.58,13.86,66.3
63.59,1,500,59,169.54,19.72,71.93
64.95,1,570,448,116.73,17.15,55.26
64.99,1,405,317,180.94,15.46,73.35
66.51,1,1200,790,115.97,69.67,93.52
71.23,1,601.2,334,136.85,19.79,64.26
72,1,1300,675,133.21,50.87,100.69
73.25,1,819.24,94,65.14,16.78,42.39
73.26,1,520.18,428,84.88,11.33,45.61
73.4,1,350,175,25.79,11.95,26.51
73.64,1,152.46,140,20.83,16.06,29.76
76.15,1,860,245,134.35,10.24,59.82
76.41,1,838.91,432,201.06,22.07,80.8
79.64,1,653.98,219,9.76,2.35,20.95
80.58,1,567.25,672,125.81,85.2,106.06
81.64,1,500,25,124.85,72.11,101.91
81.81,1,631,500,228.91,19.15,90.36
82.47,0,260.04,203,13.91,39.79,41.54
84.37,1,463,60,173.52,16.97,73.15
85.33,1,1398.3,796,111.9,5.24,52.59
85.7,1,553.85,46,13.2,9.15,19.94
85.84,1,480,120,49.8,44.45,50.75
86.17,1,3000,775,37.33,1.35,29.55
87.61,1,740,524,179.66,23.79,80.65
90.24,1,550,250,51.47,4.78,32.05
90.68,1,345,460,51.62,15.35,41.88
96.11,1,582.11,391,94.66,89.23,93.41
97.42,0,760,555,65.74,10.77,44.06
98.62,1,840.25,283,166.33,27.13,82.08
99.87,1,93.28,205,21.87,20.84,35.21
100.98,1,472.59,1310,36.13,8.55,36.22
101.15,1,481.56,938,76.89,8.48,47.39
101.93,1,115,310,47.45,31.74,47.39
104.57,1,141.75,252,96.06,10.26,62.53
106.02,1,189.8,165,48.44,11.08,43.22
107.73,1,168.01,310,144.43,21.69,93.6
108.95,1,572,279,119.5,134.67,119.38
109.13,1,488.53,333,39.78,9.85,39.67
110.28,1,1546.62,900,70.31,5.71,46.57
110.42,1,1345.26,538,92.44,4.65,51.96
110.96,1,539.98,750,45.8,6.18,40.98
111.03,1,308.61,99,171.69,32.02,87.82
111.85,1,2242.11,1230,73.18,5.55,46.99
112.02,1,5349.72,1125,91.18,12.24,81.78
113.03,0,220,140,69.51,19.4,53.78
113.88,1,132.35,215,30.49,16.06,41.18
116.3,1,1213.34,954,49.83,42.04,64.4
122.54,1,1513.6,720,36.97,14.63,44.17
124.53,1,103,450,49.34,18.55,47.62
126.13,1,351,108,194.73,34.41,97.11
127.07,1,1161.73,472,53.43,2.69,43.84
128.42,1,600.29,900,205.41,19.11,93.53
129.96,1,1347.76,1050,57.19,3.17,44.29
133.22,0,273.22,640,27.53,3.42,38.12
135.21,1,165.03,98,133.05,54.01,93.99
135.45,1,882.5,210,33.84,4.02,40.68
136.5,1,510.55,95,145.68,24.23,82.99
141.83,1,235.32,171,151,50.99,99.03
142.41,1,777,263,240.79,31.08,110.91
143.15,1,119,71,99.76,53.72,86.04
143.3,1,1237.51,375,49.16,32.86,56.43
143.51,1,1912.51,358,78.77,3.52,53.6
147.95,1,698.06,428,110.38,76.24,114.42
150.35,1,663.31,1032,49.12,24.14,54.13
151.48,1,360.11,199,117.33,30.37,81.17
153.22,1,429,142,121.8,119.59,129.54
153.8,1,650.3,148,157.05,24.48,89.9
154.81,1,569.64,610,86.64,13.36,64.54
159.03,1,1243.43,806,48.64,6.48,51.22
159.04,1,181.25,125,16.71,7.55,38.06
161.22,1,700,274,31.83,56.01,71.51
163.02,1,410,128,163.16,51.39,106.83
164.68,1,409.68,195,62.18,44.53,86.93
165.03,1,962.33,837,75.4,7.69,59.1
172.43,1,125.43,163,86.51,80.49,101.91
182.52,1,45,125,6.04,37.34,42.88
184.58,1,1023.47,662,115.77,10.56,77.49
185.24,1,423.68,850,26.97,10.62,66.02
191.61,1,1038.88,421,72.84,6.82,64.54
192.81,1,600,350,89.76,12.67,73.3
194.56,1,460.51,185,71.72,15.74,67.24
195.15,1,2800.33,1100,192.26,6.73,83.06
198.06,1,1212.97,225,85.08,5.7,69.62
198.69,1,459,745,55.31,10.96,86.49
204.65,1,728.6,670,44.27,6.07,59.49
207.6,1,157.96,168,95.74,85.61,114.49
208.81,1,171,207,163.9,54.93,119.04
209.44,1,1542.24,252,118.4,5.65,81.54
210.12,1,169.65,83,150.87,73.22,124.75
213.06,1,1838,90,95.27,39.52,116.71
214.94,1,130.2,210,59.59,46.97,86.57
217.47,1,130.41,207,17.18,11.84,54.88
217.62,1,600,130,175.43,20.06,106.79
221.79,1,197.4,47,16.98,41.26,59.75
222.14,1,168,105,104.49,39.49,97.2
224.08,1,143.81,41,79.31,77.12,109.37
225.3,1,479.21,446,73.18,8.73,73.55
227.67,1,460.44,237,266.21,46.84,147.93
233.91,1,151.09,55,157.4,122.28,159.61
236.04,1,1157.31,460,150.96,7.67,95.41
237.42,1,144.89,216,87.21,200.53,148.78
239.83,1,496.25,425,85.26,7.23,79.37
250.38,1,224,28,189.28,58.52,136.99
250.86,1,467.88,205,58.22,7.92,74.26
251.35,1,351.86,156,32.06,5.85,59.97
252.48,1,276.57,108,138.75,131.15,168.39
254.22,1,588.22,585,190.86,23.14,119.62
254.71,1,290,290,132.54,246.94,186.66
262.08,1,1013.61,690,100.73,49.7,135.46
263.05,1,1169.12,1490,189.57,15.93,117.02
263.78,1,500,785,317.63,56.74,175.31
268.5,1,410.05,140,331.6,64.99,183.18
271.15,1,625.24,627,67.45,11.84,83.29
272.88,1,128.16,80,93.86,19.45,86.33
274.38,1,179.35,243,235.88,138.08,194.95
277.74,1,1870,299,144.62,7.51,104.59
288.87,1,1442.01,432,63.52,8.51,76.19
300.14,1,309.29,135,123.3,237,162.47
300.6,1,214.76,206,189.9,66.87,151.71
330.36,1,1209.78,60,55.45,10.79,79.53
339.98,1,908.55,306,155.71,11.58,121.4
345.61,1,599.28,1766,134.66,10.6,117.83
351.46,1,702.02,166,77.43,70.94,150.98
354.11,1,810,60,86.64,68.15,156.65
354.52,1,637.97,320,108.79,14.94,111.95
358.65,1,160.01,160,64.12,61.88,107.52
360.11,1,731.1,900,143.58,24.49,130.44
378.53,1,460.04,459,148.33,15.97,128.39
382.21,1,510,187,77.53,70.4,159.33
388.09,1,71.28,54,42.84,374.81,160.97
389.89,1,582.69,1101,103.77,75.29,175.46
392.21,1,400,317,59.03,34.08,144.5
393.1,1,411.49,896,94.03,11.67,116.02
396.99,1,69.83,50,103.36,77.93,243.29
414.62,1,167.93,529,232.54,91.95,201.41
422.42,1,199.45,90,172.93,96.89,188.37
424.69,1,1039.61,1033,196.36,15.2,154.71
431.63,1,341.95,220,253.04,98.29,214.42
449.14,1,318,340,113.54,41.21,149.33
473,1,745.95,37,110.72,49.09,165.69
503.83,1,260.15,215,242.4,104.92,229.68
507.27,1,220.5,294,236.94,90.56,221.68
511.62,1,150.84,120,148.55,143.95,224.05
512.22,1,500,1083,185.23,35.35,180.36
519.26,1,599.57,859,174.99,11.65,165.42
563.03,1,523.99,149,148.71,23.83,170.16
620.86,1,540.54,288,176.85,29.33,198.02
638.05,1,400,250,131.32,17.57,183.03
650.79,1,596.41,575,164.99,28.4,200.79
666.19,1,619.23,453,215.45,29.44,219.04
678.88,1,443.69,145,89.71,35.63,157.41
721.34,1,72.17,151,178.73,188.17,298.86
850.66,1,600,197,145.48,119.44,326.49
927.7,1,170.78,175,169.65,112.81,304.26
958.07,1,156,275,101.93,40.19,248.51
